method,stress,max_h,jf,ops,split,vanish,mce,uec,ece_iou50,selective_jf_80
image-only,Occlusion,10,0.2008112215881982,0.6709788029925187,0.6582605985037406,0.1520573566084788,0.0126049543221318,0.0948422368200606,0.8715256770984491,0.2065572589635849
SafeObjWorld-R,Clean,5,0.6643805099294362,0.9575135443398916,0.276475620188195,0.0226404334188765,0.0029501878377922,0.2161708388431686,0.2392141919751979,0.675437331199646
SafeObjWorld-R,Occlusion,5,0.6313917402854091,0.9503279155973768,0.3341317365269461,0.0232107214143142,0.0032394306386687,0.2304458912451575,0.2681236478382955,0.6415812969207764
image-only,Clean,10,0.120298594992372,0.360006234413965,0.6347256857855361,0.410785536159601,0.017227997685075,0.0198019754114488,0.8981460563819902,0.1216115057468414
image-only,Clean,5,0.1628111332773619,0.5236954662104363,0.9393783860849728,0.1850584545195323,0.0205276425392218,0.0861697483872585,0.8661407230347012,0.1669648438692093
image-only,Occlusion,5,0.2122988226172047,0.7071571143427431,0.8940975192472198,0.0736241802110065,0.0148310033572662,0.149161199560159,0.8501939421948252,0.2185488790273666
mask-only,Clean,10,0.5378350560410348,0.9096945137157108,0.2795822942643391,0.0444201995012468,0.0029050688710436,0.0294231701537861,0.385098099037819,0.5396950840950012
mask-only,Occlusion,10,0.4951332995353749,0.8986596009975062,0.4680174563591022,0.0492830423940149,0.0037648673861418,-0.0473366922475067,0.4542004272620428,0.4935064613819122
SafeObjWorld-R,Occlusion,10,0.5167226606123173,0.9076683291770572,0.3271197007481297,0.0395573566084788,0.0028920348368935,0.1160822273646622,0.4224995511558436,0.5263234376907349
Object-token w/o geom,Clean,10,0.1097496752663606,0.389214463840399,0.0317643391521197,0.4510286783042394,0.0056771645937109,-0.3554167949289286,0.8860489047766476,0.093647725880146
Object-token w/o geom,Occlusion,10,0.1017702241733318,0.3628740648379052,0.0294576059850374,0.4811097256857855,0.0055447184285827,-0.3189658558885846,0.9030509982991992,0.0875592678785324
Object-token w/o geom,Clean,5,0.1174441264523298,0.4201881950384944,0.2072996863416025,0.4192757342457941,0.0082803972311528,-0.2588346654450457,0.8948492663077285,0.103650651872158
Object-token w/o geom,Occlusion,5,0.1110428887048602,0.3989164528086684,0.2120901055032791,0.4402623324779013,0.0078908386297408,-0.2311329011110215,0.9071712075117344,0.1003761813044548
deterministic,Clean,10,0.5380244352812745,0.911845386533666,0.2308915211970074,0.0444201995012468,0.0018278946494923,,0.393625883878838,0.5314640402793884
deterministic,Occlusion,10,0.5144102433753068,0.9050498753117208,0.2157730673316708,0.0442019950124688,0.001920012539899,,0.4130324767154648,0.5071339011192322
deterministic,Clean,5,0.6684034873592523,0.9550042771599658,0.2837182777302537,0.0257770173937838,0.0028585407487187,,0.2316099696938455,0.6618683934211731
deterministic,Occlusion,5,0.6368934716648118,0.9446250356429996,0.3312802965497576,0.0281151981750784,0.0032148520172399,,0.2566787139384332,0.6274717450141907
SafeObjWorld-R,Clean,10,0.5396114943936091,0.915430174563591,0.2738778054862842,0.0407730673316708,0.0026079144590256,0.1437348151831637,0.3933110241302082,0.5537999868392944
mask-only,Clean,5,0.6571080059775688,0.9560878243512974,0.2226974622184203,0.0226974622184203,0.0030563408690167,0.1744207129992674,0.236957608232615,0.6645989418029785
w/o stress,Occlusion,5,0.5626540262697701,0.9469632164242944,0.6455089820359281,0.0230966638152266,0.0036998932048965,0.1968989850293626,0.4481031175451058,0.578277051448822
w/o stress,Clean,10,0.5459932957284795,0.9122506234413964,0.3002493765586035,0.0432044887780548,0.002794566879734,0.165687846542658,0.3867514239972517,0.5614064931869507
w/o stress,Occlusion,10,0.4567282110794351,0.8907107231920199,0.6193266832917705,0.0488466334164588,0.0036301698112006,0.149398363404341,0.6081416967355104,0.4730828106403351
w/o stress,Clean,5,0.6768074864160838,0.9609923011120616,0.2753350441973196,0.0193897918448816,0.0028138151550872,0.2059721053074849,0.2316927069675422,0.688389003276825
w/o temporal,Clean,10,0.5395568894704542,0.914993765586035,0.2739401496259351,0.0410847880299251,0.0025969669829973,0.1646272130211553,0.394951831413772,0.5558775067329407
w/o temporal,Occlusion,10,0.5160375019714207,0.9079488778054864,0.3270885286783042,0.0396197007481296,0.0029325971927261,0.1352783905294815,0.4232687296694205,0.5263591408729553
w/o temporal,Clean,5,0.6638512835205747,0.9577416595380668,0.2731679498146564,0.0225263758197889,0.0030377506813495,0.2034991113194821,0.2392435840095996,0.6741558909416199
w/o temporal,Occlusion,5,0.6310335572492843,0.9493013972055888,0.3262617621899059,0.0232107214143142,0.0033435636459635,0.2337038392314475,0.2679663152751808,0.6417407393455505
w/o split,Occlusion,5,0.6347023520670706,0.9518106643855146,0.3561448531508411,0.0211006558311947,0.0032349749993749,0.1851849792691118,0.26871599877088,0.6450920701026917
mask-only,Occlusion,5,0.604887251668515,0.946506986027944,0.4427145708582834,0.0248075278015397,0.0041051639323136,0.1028996091763082,0.3073889908472424,0.6146947145462036
w/o area,Clean,10,0.5392939554601996,0.9174251870324188,0.2797693266832918,0.0379052369077306,0.0025343017384786,0.1553821343393303,0.3970392163777886,0.5552418828010559
w/o area,Occlusion,10,0.5178641501409919,0.9099127182044888,0.297786783042394,0.0371259351620947,0.0027924009925445,0.1407250058564188,0.4208834827800938,0.5267341136932373
w/o area,Clean,5,0.6635173818215226,0.9572854291417164,0.2813800969489592,0.0226974622184203,0.0031034317641934,0.2235007982917159,0.2391514733947849,0.6755317449569702
w/o area,Occlusion,5,0.6304753076167027,0.9481037924151696,0.3335044197319646,0.0229826062161391,0.0034044478981861,0.2215404272763062,0.2683264670189813,0.6415815353393555
w/o split,Clean,10,0.5429286209951563,0.9160536159600996,0.2700436408977556,0.0391209476309226,0.0026595998900304,0.1657229623259087,0.3924691064176416,0.5564733743667603
w/o split,Occlusion,10,0.5198624190798835,0.9098815461346632,0.3131546134663341,0.0392456359102244,0.0028939521153384,0.1150072940856852,0.4199984812193975,0.5294522643089294
w/o split,Clean,5,0.6699855209401435,0.9584830339321356,0.282406615340747,0.0197319646421442,0.0028983871523371,0.2267094265694398,0.2406191996437618,0.6832695603370667
Object-token,Occlusion,5,0.3253157700783595,0.8767037353863701,0.0572569147419446,0.0503564299971485,0.0147974317959359,-0.2605800206237433,0.7528942924977573,0.3226035237312317
Object-token det.,Clean,10,0.2755296945061518,0.8220386533665835,0.1469763092269326,0.0671134663341646,0.0018051565747084,,0.7932892849060365,0.2752457857131958
Object-token det.,Occlusion,10,0.2690071156149456,0.8005922693266833,0.1504364089775561,0.0773067331670823,0.0018307841922715,,0.8023153754541107,0.2697398960590362
Object-token det.,Clean,5,0.3578067147291707,0.8924436840604505,0.0871970345024237,0.0429997148560022,0.0035617247088758,,0.6374085395024106,0.3515893816947937
Object-token det.,Occlusion,5,0.3520707961933136,0.8897633304818934,0.1011120615911035,0.0465355004277159,0.003732420005933,,0.6659875549888014,0.346999853849411
Object-token,Clean,10,0.2845571249859662,0.856140897755611,0.1246882793017456,0.0547069825436409,0.0135352531273401,-0.2267991031775036,0.770326842397377,0.2808734774589538
Object-token,Occlusion,10,0.284673015522932,0.8458541147132169,0.1144638403990025,0.0590710723192019,0.0135204088880353,-0.2002511643183502,0.7681466960011426,0.2814732193946838
Object-token,Clean,5,0.3360089353539298,0.8853721129170231,0.0571428571428571,0.0444824636441402,0.0149066744041288,-0.2779027667091502,0.7037347862242564,0.3331754803657532
