method,stress,max_h,jf,iou,boundary_f,ops,vanish,hallucination,split,mce,uec,ece_iou50,selective_jf_80,n_samples
SafeObjWorld-R,occlusion,5,0.6313917402854091,0.6018653670150012,0.6609181135558171,0.9503279155973768,0.0232107214143142,0.002965497576276,0.3341317365269461,0.0032394306386687,0.2304458912451575,0.2681236478382955,0.6415812969207764,3507
SafeObjWorld-R,occlusion,10,0.5167226606123173,0.5088692472559931,0.5245760739686416,0.9076683291770572,0.0395573566084788,0.0066708229426433,0.3271197007481297,0.0028920348368935,0.1160822273646622,0.4224995511558436,0.5263234376907349,3208
deterministic,occlusion,10,0.5144102433753068,0.5153632270613577,0.5134572596892559,0.9050498753117208,0.0442019950124688,0.0050187032418952,0.2157730673316708,0.001920012539899,,0.4130324767154648,0.5071339011192322,3208
deterministic,occlusion,5,0.6368934716648118,0.6113233798992596,0.6624635634303642,0.9446250356429996,0.0281151981750784,0.0025662959794696,0.3312802965497576,0.0032148520172399,,0.2566787139384332,0.6274717450141907,3507
w/o stress,occlusion,5,0.5626540262697701,0.4847935294518051,0.6405145230877352,0.9469632164242944,0.0230966638152266,0.0035357855717137,0.6455089820359281,0.0036998932048965,0.1968989850293626,0.4481031175451058,0.578277051448822,3507
w/o stress,occlusion,10,0.4567282110794351,0.4089774357012907,0.5044789864575796,0.8907107231920199,0.0488466334164588,0.0055798004987531,0.6193266832917705,0.0036301698112006,0.149398363404341,0.6081416967355104,0.4730828106403351,3208
w/o split,occlusion,5,0.6347023520670706,0.602081887237059,0.6673228168970823,0.9518106643855146,0.0211006558311947,0.0035357855717137,0.3561448531508411,0.0032349749993749,0.1851849792691118,0.26871599877088,0.6450920701026917,3507
w/o split,occlusion,10,0.5198624190798835,0.5113522774376372,0.5283725607221298,0.9098815461346632,0.0392456359102244,0.0067643391521197,0.3131546134663341,0.0028939521153384,0.1150072940856852,0.4199984812193975,0.5294522643089294,3208
Copy-last,occlusion,10,0.4215289177898669,0.3378782688260449,0.5051795667536888,0.8336658354114713,0.0626558603491271,0.0084164588528678,0.8001870324189526,0.0,,0.7588528394699097,0.4192419946193695,3208
Copy-last,occlusion,5,0.5101092812012304,0.4073999099176179,0.6128186524848432,0.9005988023952096,0.0376960364984317,0.0051325919589392,0.7944111776447106,0.0,,0.635699987411499,0.5079520344734192,3507
Object-token,occlusion,5,0.3253157700783595,0.3566758704334293,0.2939556697232895,0.8767037353863701,0.0503564299971485,0.0034217279726261,0.0572569147419446,0.0147974317959359,-0.2605800206237433,0.7528942924977573,0.3226035237312317,3507
Flow + fallback,occlusion,5,0.5423389057969029,0.43079592749007,0.6538818841037357,0.9122897063016824,0.0319931565440547,0.0049615055603079,0.815112631879099,0.0045538584030688,,0.5796407461166382,0.5399585366249084,3507
ConvLSTM,occlusion,10,0.4481281075438922,0.4046998747387835,0.4915563403490011,0.88285536159601,0.0567331670822942,0.0049563591022443,0.5857543640897755,0.0033323810496399,,0.6172763861734374,0.4430929124355316,3208
ConvLSTM,occlusion,5,0.5517579378865417,0.4782424946464025,0.6252733811266805,0.9348731109210152,0.0335899629312803,0.0019389791844881,0.6471628172226974,0.0041517670810958,,0.4630657036215415,0.5462842583656311,3507
ConvLSTM + stress,occlusion,10,0.5152456850228443,0.5112961628573087,0.5191952071883797,0.9,0.0481296758104738,0.0052057356608478,0.3101620947630922,0.0025939840358619,,0.4195395095055537,0.5107170343399048,3208
ConvLSTM + stress,occlusion,5,0.6247783607493939,0.5919655065038255,0.6575912149949623,0.9428001140575992,0.0279441117764471,0.0025662959794696,0.4183632734530938,0.0035602307810596,,0.2760471691016563,0.6153438687324524,3507
Flow-warp,occlusion,10,0.4353319238153018,0.3477245646182513,0.5229392830123523,0.8351309226932668,0.0617830423940149,0.0083852867830423,0.852493765586035,0.0016893709248976,,0.7289900183677673,0.4319650530815124,3208
Flow + fallback,occlusion,10,0.4366728435408746,0.3497757402201001,0.523569946861649,0.8357231920199502,0.0697007481296758,0.0084164588528678,0.8226309226932669,0.002139257736847,,0.7264338731765747,0.4324389398097992,3208
Object-token,occlusion,10,0.284673015522932,0.3266666040243962,0.2426794270214678,0.8458541147132169,0.0590710723192019,0.008291770573566,0.1144638403990025,0.0135204088880353,-0.2002511643183502,0.7681466960011426,0.2814732193946838,3208
Flow-warp,occlusion,5,0.5379755651079978,0.4271951064014479,0.6487560238145477,0.9097234103222128,0.0311947533504419,0.0049615055603079,0.8209865982321072,0.0018506073197965,,0.5857428312301636,0.5360747575759888,3507
Linear centroid,occlusion,10,0.4041088259463709,0.326550711474477,0.4816669404182647,0.804145885286783,0.091147132169576,0.0083852867830423,0.7890274314214464,0.0007334156823399,,0.7607855200767517,0.4005197286605835,3208
Linear centroid,occlusion,5,0.5108872666090218,0.4083935160469675,0.6133810171710762,0.8931280296549757,0.0443684060450527,0.0051325919589392,0.7914456800684345,0.0007510297302402,,0.6254348754882812,0.5087040066719055,3507
