method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,confidence,uec,ece_iou50,n_rows,n_samples
convlstm,blur,5,all,0.6356391898955182,0.6904923553779174,0.6630657726367178,0.9530082691759338,0.0274308525805531,0.0023952095808383,0.275734245794126,0.0029698178666706,0.0,0.9917784930771152,,0.2326681853938313,17535,3507
convlstm,blur,5,1,0.7716211340293291,0.8936751243996761,0.8326481292145026,0.9843170801254634,0.0122611919019104,0.0008554319931565,0.3190761334473909,0.0029698178666706,0.0,0.996019191336761,,0.0975304245948791,3507,3507
convlstm,blur,5,2,0.6852065313122877,0.7795586519801851,0.7323825916462364,0.9703450242372398,0.0185343598517251,0.001710863986313,0.2951240376390077,0.0029698178666706,0.0,0.993671707781353,,0.1579147466132537,3507,3507
convlstm,blur,5,3,0.621446378686429,0.6768944450727897,0.6491704118796093,0.9500998003992016,0.0268035357855717,0.0022811519817507,0.2817222697462218,0.0029698178666706,0.0,0.9916407859389992,,0.2311617382782152,3507,3507
convlstm,blur,5,4,0.5709615382533076,0.5888129426056788,0.5798872404294934,0.9369831765041344,0.035642999714856,0.0031365839749073,0.2543484459652124,0.0029698178666706,0.0,0.9897933854212406,,0.3108655409422701,3507,3507
convlstm,blur,5,5,0.5289603671962375,0.5135206128312574,0.5212404900137474,0.92329626461363,0.0439121756487025,0.0039920159680638,0.2284003421727972,0.0029698178666706,0.0,0.9877673949072224,,0.3658684101205352,3507,3507
convlstm,clean,5,all,0.6352146203786231,0.6901424226649653,0.6626785215217942,0.9528942115768464,0.0275449101796407,0.0023952095808383,0.2751639577986883,0.0029405200879078,0.0,0.991907777665924,,0.2335958450990148,17535,3507
convlstm,clean,5,1,0.7713260972183207,0.8935225373768615,0.832424317297591,0.9846022241231822,0.0125463358996293,0.0008554319931565,0.3182207014542343,0.0029405200879078,0.0,0.996047754436604,,0.0972738862037658,3507,3507
convlstm,clean,5,2,0.6848333724621327,0.7791590047123265,0.7319961885872296,0.9703450242372398,0.0191046478471628,0.001710863986313,0.2902765896777873,0.0029405200879078,0.0,0.9937597822864273,,0.159143333034635,3507,3507
convlstm,clean,5,3,0.6210518127473258,0.6764639178918165,0.6487578653195714,0.9500998003992016,0.0268035357855717,0.0022811519817507,0.281437125748503,0.0029405200879078,0.0,0.9917774402520784,,0.2318687321693087,3507,3507
convlstm,clean,5,4,0.5704900999046278,0.5883988715617258,0.5794444857331769,0.9366980325064156,0.0353578557171371,0.0031365839749073,0.2560593099515255,0.0029405200879078,0.0,0.9899701095558756,,0.3136085673958479,3507,3507
convlstm,clean,5,5,0.5283717195607084,0.5131677817820959,0.5207697506714022,0.9227259766181922,0.0439121756487025,0.0039920159680638,0.2298260621613915,0.0029405200879078,0.0,0.9879838017986342,,0.3660847473967133,3507,3507
convlstm,frame_drop,5,all,0.6232815370052729,0.6724220921697255,0.6478518145874992,0.950499001996008,0.0296549757627601,0.0022811519817507,0.2834331337325349,0.0035309841452998,0.0,0.9908047101148896,,0.2504568141581565,17535,3507
convlstm,frame_drop,5,1,0.7571194483521819,0.8766383861873467,0.8168789172697644,0.9826062161391502,0.0128314798973481,0.0008554319931565,0.3230681494154548,0.0035309841452998,0.0,0.9957626633641384,,0.1052579283714294,3507,3507
convlstm,frame_drop,5,2,0.6711824189196054,0.7588239198774331,0.7150031693985193,0.9669232962646136,0.020530367835757,0.0014257199885942,0.3011120615911035,0.0035309841452998,0.0,0.9930417334248206,,0.176674495404148,3507,3507
convlstm,frame_drop,5,3,0.6088570502832958,0.6565854876751687,0.6327212689792323,0.9481037924151696,0.0310806957513544,0.0022811519817507,0.2922725976618192,0.0035309841452998,0.0,0.9906022265183814,,0.2560713106592666,3507,3507
convlstm,frame_drop,5,4,0.5598583883438815,0.5708537645033224,0.565356076423602,0.9338465925292272,0.0390647276874821,0.0031365839749073,0.2643284858853721,0.0035309841452998,0.0,0.9884315022451436,,0.3260420526165142,3507,3507
convlstm,frame_drop,5,5,0.5193903791274,0.4992089026053561,0.509299640866378,0.9210151126318792,0.0447676076418591,0.003706871970345,0.236384374108925,0.0035309841452998,0.0,0.9861854250219632,,0.3882385030376085,3507,3507
convlstm,occlusion,5,all,0.612083437542337,0.6541736112560755,0.6331285243992062,0.94856002281152,0.0278870829769033,0.0020530367835757,0.2676361562589107,0.0030312480824234,0.0,0.9911991066901406,,0.2534174455038189,17535,3507
convlstm,occlusion,5,1,0.7308676168628389,0.8422907295761601,0.7865791732194993,0.9786142001710864,0.0142571998859424,0.0008554319931565,0.3205018534359852,0.0030312480824234,0.0,0.9950711483081114,,0.1091287732124328,3507,3507
convlstm,occlusion,5,2,0.6575134403328544,0.7380087204273934,0.697761080380124,0.9640718562874252,0.0202452238380382,0.0014257199885942,0.2919874536641004,0.0030312480824234,0.0,0.993132711204668,,0.1787614401229127,3507,3507
convlstm,occlusion,5,3,0.6011811422571334,0.6411093216695698,0.6211452319633517,0.9481037924151696,0.0279441117764471,0.0019960079840319,0.2674650698602794,0.0030312480824234,0.0,0.9911883563984484,,0.2595087918488769,3507,3507
convlstm,occlusion,5,4,0.5549884766197338,0.55951387576142,0.557251176190577,0.932420872540633,0.0353578557171371,0.0025662959794696,0.2432278300541773,0.0030312480824234,0.0,0.9893104659039172,,0.3311980893749915,3507,3507
convlstm,occlusion,5,5,0.5158665116391247,0.4899454088458342,0.5029059602424795,0.9195893926432848,0.0416310236669518,0.0034217279726261,0.2149985742800114,0.0030312480824234,0.0,0.987292851635558,,0.388490431119072,3507,3507
copy_last,blur,5,all,0.5646566328699503,0.6887519516166893,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0,0.0,1.0,,0.3661819100379944,17535,3507
copy_last,blur,5,1,0.7252137853728934,0.8932243461124351,0.8092190657426642,0.9669232962646136,0.0145423438836612,0.0022811519817507,0.4781864841745081,0.0,0.0,1.0,,0.1340177059173584,3507,3507
copy_last,blur,5,2,0.6143932727315377,0.7606145497496986,0.6875039112406182,0.9455374964357,0.0245223838038209,0.003706871970345,0.4781864841745081,0.0,0.0,1.0,,0.2706016302108764,3507,3507
copy_last,blur,5,3,0.5425747018731429,0.6637367799055733,0.6031557408893582,0.9204448246364414,0.0339321357285429,0.0051325919589392,0.4781864841745081,0.0,0.0,1.0,,0.3977758884429931,3507,3507
copy_last,blur,5,4,0.4906277328865963,0.5909672286703824,0.5407974807784893,0.8990590248075278,0.0427715996578272,0.0065583119475335,0.4781864841745081,0.0,0.0,1.0,,0.4836041927337646,3507,3507
copy_last,blur,5,5,0.4504736714855806,0.5352168536453579,0.4928452625654692,0.8779583689763331,0.0513259195893926,0.0079840319361277,0.4781864841745081,0.0,0.0,1.0,,0.544910192489624,3507,3507
copy_last,clean,5,all,0.5646566328699503,0.6887519516166893,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0,0.0,1.0,,0.3661819100379944,17535,3507
copy_last,clean,5,1,0.7252137853728934,0.8932243461124351,0.8092190657426642,0.9669232962646136,0.0145423438836612,0.0022811519817507,0.4781864841745081,0.0,0.0,1.0,,0.1340177059173584,3507,3507
copy_last,clean,5,2,0.6143932727315377,0.7606145497496986,0.6875039112406182,0.9455374964357,0.0245223838038209,0.003706871970345,0.4781864841745081,0.0,0.0,1.0,,0.2706016302108764,3507,3507
copy_last,clean,5,3,0.5425747018731429,0.6637367799055733,0.6031557408893582,0.9204448246364414,0.0339321357285429,0.0051325919589392,0.4781864841745081,0.0,0.0,1.0,,0.3977758884429931,3507,3507
copy_last,clean,5,4,0.4906277328865963,0.5909672286703824,0.5407974807784893,0.8990590248075278,0.0427715996578272,0.0065583119475335,0.4781864841745081,0.0,0.0,1.0,,0.4836041927337646,3507,3507
copy_last,clean,5,5,0.4504736714855806,0.5352168536453579,0.4928452625654692,0.8779583689763331,0.0513259195893926,0.0079840319361277,0.4781864841745081,0.0,0.0,1.0,,0.544910192489624,3507,3507
copy_last,frame_drop,5,all,0.5646566328699503,0.6887519516166893,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0,0.0,1.0,,0.3661819100379944,17535,3507
copy_last,frame_drop,5,1,0.7252137853728934,0.8932243461124351,0.8092190657426642,0.9669232962646136,0.0145423438836612,0.0022811519817507,0.4781864841745081,0.0,0.0,1.0,,0.1340177059173584,3507,3507
copy_last,frame_drop,5,2,0.6143932727315377,0.7606145497496986,0.6875039112406182,0.9455374964357,0.0245223838038209,0.003706871970345,0.4781864841745081,0.0,0.0,1.0,,0.2706016302108764,3507,3507
copy_last,frame_drop,5,3,0.5425747018731429,0.6637367799055733,0.6031557408893582,0.9204448246364414,0.0339321357285429,0.0051325919589392,0.4781864841745081,0.0,0.0,1.0,,0.3977758884429931,3507,3507
copy_last,frame_drop,5,4,0.4906277328865963,0.5909672286703824,0.5407974807784893,0.8990590248075278,0.0427715996578272,0.0065583119475335,0.4781864841745081,0.0,0.0,1.0,,0.4836041927337646,3507,3507
copy_last,frame_drop,5,5,0.4504736714855806,0.5352168536453579,0.4928452625654692,0.8779583689763331,0.0513259195893926,0.0079840319361277,0.4781864841745081,0.0,0.0,1.0,,0.544910192489624,3507,3507
copy_last,occlusion,5,all,0.3964038965838373,0.6126716618140786,0.504537779198958,0.8986598232107215,0.037125748502994,0.0050755631593954,0.7986883376104933,0.0,0.0,1.0,,0.6620473265647888,17535,3507
copy_last,occlusion,5,1,0.5116211501588701,0.7881597945639628,0.6498904723614165,0.9583689763330482,0.0151126318790989,0.0019960079840319,0.7986883376104933,0.0,0.0,1.0,,0.3846592307090759,3507,3507
copy_last,occlusion,5,2,0.4311888841613532,0.674049543829942,0.5526192139956476,0.9252922725976618,0.0276589677787282,0.003706871970345,0.7986883376104933,0.0,0.0,1.0,,0.6019389629364014,3507,3507
copy_last,occlusion,5,3,0.3801151291051987,0.5909861212583131,0.4855506251817559,0.8944967208440262,0.0399201596806387,0.0051325919589392,0.7986883376104933,0.0,0.0,1.0,,0.7145708799362183,3507,3507
