====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "convlstm",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.0,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=convlstm device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/convlstm/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=(device.type == "cuda" and args.amp)):
[train:convlstm:H5] epoch=1/8 step=0/1086 loss=1.6514
[train:convlstm:H5] epoch=1/8 step=25/1086 loss=1.4703
[train:convlstm:H5] epoch=1/8 step=50/1086 loss=0.8996
[train:convlstm:H5] epoch=1/8 step=75/1086 loss=0.7375
[train:convlstm:H5] epoch=1/8 step=100/1086 loss=0.6429
[train:convlstm:H5] epoch=1/8 step=125/1086 loss=0.6027
[train:convlstm:H5] epoch=1/8 step=150/1086 loss=0.6182
[train:convlstm:H5] epoch=1/8 step=175/1086 loss=0.5703
[train:convlstm:H5] epoch=1/8 step=200/1086 loss=0.5606
[train:convlstm:H5] epoch=1/8 step=225/1086 loss=0.5310
[train:convlstm:H5] epoch=1/8 step=250/1086 loss=0.5636
[train:convlstm:H5] epoch=1/8 step=275/1086 loss=0.5933
[train:convlstm:H5] epoch=1/8 step=300/1086 loss=0.4708
[train:convlstm:H5] epoch=1/8 step=325/1086 loss=0.5413
[train:convlstm:H5] epoch=1/8 step=350/1086 loss=0.5520
[train:convlstm:H5] epoch=1/8 step=375/1086 loss=0.5492
[train:convlstm:H5] epoch=1/8 step=400/1086 loss=0.5614
[train:convlstm:H5] epoch=1/8 step=425/1086 loss=0.4669
[train:convlstm:H5] epoch=1/8 step=450/1086 loss=0.5258
[train:convlstm:H5] epoch=1/8 step=475/1086 loss=0.5426
[train:convlstm:H5] epoch=1/8 step=500/1086 loss=0.5091
[train:convlstm:H5] epoch=1/8 step=525/1086 loss=0.4942
[train:convlstm:H5] epoch=1/8 step=550/1086 loss=0.5181
[train:convlstm:H5] epoch=1/8 step=575/1086 loss=0.5104
[train:convlstm:H5] epoch=1/8 step=600/1086 loss=0.5093
[train:convlstm:H5] epoch=1/8 step=625/1086 loss=0.5039
[train:convlstm:H5] epoch=1/8 step=650/1086 loss=0.5138
[train:convlstm:H5] epoch=1/8 step=675/1086 loss=0.4957
[train:convlstm:H5] epoch=1/8 step=700/1086 loss=0.4891
[train:convlstm:H5] epoch=1/8 step=725/1086 loss=0.4865
[train:convlstm:H5] epoch=1/8 step=750/1086 loss=0.5168
[train:convlstm:H5] epoch=1/8 step=775/1086 loss=0.5191
[train:convlstm:H5] epoch=1/8 step=800/1086 loss=0.4738
[train:convlstm:H5] epoch=1/8 step=825/1086 loss=0.4635
[train:convlstm:H5] epoch=1/8 step=850/1086 loss=0.5287
[train:convlstm:H5] epoch=1/8 step=875/1086 loss=0.5034
[train:convlstm:H5] epoch=1/8 step=900/1086 loss=0.4501
[train:convlstm:H5] epoch=1/8 step=925/1086 loss=0.4759
[train:convlstm:H5] epoch=1/8 step=950/1086 loss=0.5200
[train:convlstm:H5] epoch=1/8 step=975/1086 loss=0.4488
[train:convlstm:H5] epoch=1/8 step=1000/1086 loss=0.4413
[train:convlstm:H5] epoch=1/8 step=1025/1086 loss=0.5028
[train:convlstm:H5] epoch=1/8 step=1050/1086 loss=0.4757
[train:convlstm:H5] epoch=1/8 step=1075/1086 loss=0.4807
[epoch done:convlstm:H5] epoch=1 train=0.5555 val=0.3919 best=0.3919
[train:convlstm:H5] epoch=2/8 step=0/1086 loss=0.2966
[train:convlstm:H5] epoch=2/8 step=25/1086 loss=0.4718
[train:convlstm:H5] epoch=2/8 step=50/1086 loss=0.4305
[train:convlstm:H5] epoch=2/8 step=75/1086 loss=0.4507
[train:convlstm:H5] epoch=2/8 step=100/1086 loss=0.4977
[train:convlstm:H5] epoch=2/8 step=125/1086 loss=0.4725
[train:convlstm:H5] epoch=2/8 step=150/1086 loss=0.4607
[train:convlstm:H5] epoch=2/8 step=175/1086 loss=0.4786
[train:convlstm:H5] epoch=2/8 step=200/1086 loss=0.4894
[train:convlstm:H5] epoch=2/8 step=225/1086 loss=0.4481
[train:convlstm:H5] epoch=2/8 step=250/1086 loss=0.4921
[train:convlstm:H5] epoch=2/8 step=275/1086 loss=0.4827
[train:convlstm:H5] epoch=2/8 step=300/1086 loss=0.4373
[train:convlstm:H5] epoch=2/8 step=325/1086 loss=0.4772
[train:convlstm:H5] epoch=2/8 step=350/1086 loss=0.4809
[train:convlstm:H5] epoch=2/8 step=375/1086 loss=0.4607
[train:convlstm:H5] epoch=2/8 step=400/1086 loss=0.4429
[train:convlstm:H5] epoch=2/8 step=425/1086 loss=0.5286
[train:convlstm:H5] epoch=2/8 step=450/1086 loss=0.4786
