====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_det",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_det device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_det/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=(device.type == "cuda" and args.amp)):
[train:safeobj_det:H5] epoch=1/8 step=0/1086 loss=1.5983
[train:safeobj_det:H5] epoch=1/8 step=25/1086 loss=1.6255
[train:safeobj_det:H5] epoch=1/8 step=50/1086 loss=1.2325
[train:safeobj_det:H5] epoch=1/8 step=75/1086 loss=1.1239
[train:safeobj_det:H5] epoch=1/8 step=100/1086 loss=1.0865
[train:safeobj_det:H5] epoch=1/8 step=125/1086 loss=1.0920
[train:safeobj_det:H5] epoch=1/8 step=150/1086 loss=1.0837
[train:safeobj_det:H5] epoch=1/8 step=175/1086 loss=1.0631
[train:safeobj_det:H5] epoch=1/8 step=200/1086 loss=1.0685
[train:safeobj_det:H5] epoch=1/8 step=225/1086 loss=1.0628
[train:safeobj_det:H5] epoch=1/8 step=250/1086 loss=1.0626
[train:safeobj_det:H5] epoch=1/8 step=275/1086 loss=1.0546
[train:safeobj_det:H5] epoch=1/8 step=300/1086 loss=1.0533
[train:safeobj_det:H5] epoch=1/8 step=325/1086 loss=1.0760
[train:safeobj_det:H5] epoch=1/8 step=350/1086 loss=1.0410
[train:safeobj_det:H5] epoch=1/8 step=375/1086 loss=1.0678
[train:safeobj_det:H5] epoch=1/8 step=400/1086 loss=1.0676
[train:safeobj_det:H5] epoch=1/8 step=425/1086 loss=1.0464
[train:safeobj_det:H5] epoch=1/8 step=450/1086 loss=1.0621
[train:safeobj_det:H5] epoch=1/8 step=475/1086 loss=1.0526
[train:safeobj_det:H5] epoch=1/8 step=500/1086 loss=1.0449
[train:safeobj_det:H5] epoch=1/8 step=525/1086 loss=1.0487
[train:safeobj_det:H5] epoch=1/8 step=550/1086 loss=1.0506
[train:safeobj_det:H5] epoch=1/8 step=575/1086 loss=1.0340
[train:safeobj_det:H5] epoch=1/8 step=600/1086 loss=1.0415
[train:safeobj_det:H5] epoch=1/8 step=625/1086 loss=1.0686
[train:safeobj_det:H5] epoch=1/8 step=650/1086 loss=1.0514
[train:safeobj_det:H5] epoch=1/8 step=675/1086 loss=1.0332
[train:safeobj_det:H5] epoch=1/8 step=700/1086 loss=1.0367
[train:safeobj_det:H5] epoch=1/8 step=725/1086 loss=1.0359
[train:safeobj_det:H5] epoch=1/8 step=750/1086 loss=1.0187
[train:safeobj_det:H5] epoch=1/8 step=775/1086 loss=1.0426
[train:safeobj_det:H5] epoch=1/8 step=800/1086 loss=1.0206
[train:safeobj_det:H5] epoch=1/8 step=825/1086 loss=1.0318
[train:safeobj_det:H5] epoch=1/8 step=850/1086 loss=1.0482
[train:safeobj_det:H5] epoch=1/8 step=875/1086 loss=1.0118
[train:safeobj_det:H5] epoch=1/8 step=900/1086 loss=1.0242
[train:safeobj_det:H5] epoch=1/8 step=925/1086 loss=1.0354
[train:safeobj_det:H5] epoch=1/8 step=950/1086 loss=1.0245
[train:safeobj_det:H5] epoch=1/8 step=975/1086 loss=1.0183
[train:safeobj_det:H5] epoch=1/8 step=1000/1086 loss=1.0187
[train:safeobj_det:H5] epoch=1/8 step=1025/1086 loss=1.0188
[train:safeobj_det:H5] epoch=1/8 step=1050/1086 loss=0.9729
[train:safeobj_det:H5] epoch=1/8 step=1075/1086 loss=0.9374
[epoch done:safeobj_det:H5] epoch=1 train=1.0632 val=0.9547 best=0.9547
[train:safeobj_det:H5] epoch=2/8 step=0/1086 loss=0.8911
[train:safeobj_det:H5] epoch=2/8 step=25/1086 loss=0.9150
[train:safeobj_det:H5] epoch=2/8 step=50/1086 loss=0.9220
[train:safeobj_det:H5] epoch=2/8 step=75/1086 loss=0.9082
[train:safeobj_det:H5] epoch=2/8 step=100/1086 loss=0.8817
[train:safeobj_det:H5] epoch=2/8 step=125/1086 loss=0.9196
[train:safeobj_det:H5] epoch=2/8 step=150/1086 loss=0.9104
[train:safeobj_det:H5] epoch=2/8 step=175/1086 loss=0.8943
[train:safeobj_det:H5] epoch=2/8 step=200/1086 loss=0.9023
[train:safeobj_det:H5] epoch=2/8 step=225/1086 loss=0.8972
[train:safeobj_det:H5] epoch=2/8 step=250/1086 loss=0.8539
[train:safeobj_det:H5] epoch=2/8 step=275/1086 loss=0.8828
[train:safeobj_det:H5] epoch=2/8 step=300/1086 loss=0.8749
[train:safeobj_det:H5] epoch=2/8 step=325/1086 loss=0.8947
[train:safeobj_det:H5] epoch=2/8 step=350/1086 loss=0.8815
