====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_full",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_full device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_full/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=(device.type == "cuda" and args.amp)):
[train:safeobj_full:H5] epoch=1/8 step=0/1086 loss=1.5983
[train:safeobj_full:H5] epoch=1/8 step=25/1086 loss=1.6249
[train:safeobj_full:H5] epoch=1/8 step=50/1086 loss=1.2284
[train:safeobj_full:H5] epoch=1/8 step=75/1086 loss=1.1213
[train:safeobj_full:H5] epoch=1/8 step=100/1086 loss=1.0876
[train:safeobj_full:H5] epoch=1/8 step=125/1086 loss=1.0910
[train:safeobj_full:H5] epoch=1/8 step=150/1086 loss=1.0827
[train:safeobj_full:H5] epoch=1/8 step=175/1086 loss=1.0614
[train:safeobj_full:H5] epoch=1/8 step=200/1086 loss=1.0684
[train:safeobj_full:H5] epoch=1/8 step=225/1086 loss=1.0636
[train:safeobj_full:H5] epoch=1/8 step=250/1086 loss=1.0634
[train:safeobj_full:H5] epoch=1/8 step=275/1086 loss=1.0555
[train:safeobj_full:H5] epoch=1/8 step=300/1086 loss=1.0544
[train:safeobj_full:H5] epoch=1/8 step=325/1086 loss=1.0763
[train:safeobj_full:H5] epoch=1/8 step=350/1086 loss=1.0418
[train:safeobj_full:H5] epoch=1/8 step=375/1086 loss=1.0672
[train:safeobj_full:H5] epoch=1/8 step=400/1086 loss=1.0663
[train:safeobj_full:H5] epoch=1/8 step=425/1086 loss=1.0468
[train:safeobj_full:H5] epoch=1/8 step=450/1086 loss=1.0610
[train:safeobj_full:H5] epoch=1/8 step=475/1086 loss=1.0520
[train:safeobj_full:H5] epoch=1/8 step=500/1086 loss=1.0472
[train:safeobj_full:H5] epoch=1/8 step=525/1086 loss=1.0467
[train:safeobj_full:H5] epoch=1/8 step=550/1086 loss=1.0508
[train:safeobj_full:H5] epoch=1/8 step=575/1086 loss=1.0344
[train:safeobj_full:H5] epoch=1/8 step=600/1086 loss=1.0439
[train:safeobj_full:H5] epoch=1/8 step=625/1086 loss=1.0746
[train:safeobj_full:H5] epoch=1/8 step=650/1086 loss=1.0530
[train:safeobj_full:H5] epoch=1/8 step=675/1086 loss=1.0328
[train:safeobj_full:H5] epoch=1/8 step=700/1086 loss=1.0421
[train:safeobj_full:H5] epoch=1/8 step=725/1086 loss=1.0399
[train:safeobj_full:H5] epoch=1/8 step=750/1086 loss=1.0241
[train:safeobj_full:H5] epoch=1/8 step=775/1086 loss=1.0446
[train:safeobj_full:H5] epoch=1/8 step=800/1086 loss=1.0241
[train:safeobj_full:H5] epoch=1/8 step=825/1086 loss=1.0359
[train:safeobj_full:H5] epoch=1/8 step=850/1086 loss=1.0523
[train:safeobj_full:H5] epoch=1/8 step=875/1086 loss=1.0139
[train:safeobj_full:H5] epoch=1/8 step=900/1086 loss=1.0284
[train:safeobj_full:H5] epoch=1/8 step=925/1086 loss=1.0378
[train:safeobj_full:H5] epoch=1/8 step=950/1086 loss=1.0260
[train:safeobj_full:H5] epoch=1/8 step=975/1086 loss=1.0245
[train:safeobj_full:H5] epoch=1/8 step=1000/1086 loss=1.0268
[train:safeobj_full:H5] epoch=1/8 step=1025/1086 loss=1.0340
[train:safeobj_full:H5] epoch=1/8 step=1050/1086 loss=1.0068
[train:safeobj_full:H5] epoch=1/8 step=1075/1086 loss=0.9711
[epoch done:safeobj_full:H5] epoch=1 train=1.0666 val=0.9759 best=0.9759
[train:safeobj_full:H5] epoch=2/8 step=0/1086 loss=0.9227
[train:safeobj_full:H5] epoch=2/8 step=25/1086 loss=0.9568
[train:safeobj_full:H5] epoch=2/8 step=50/1086 loss=0.9472
[train:safeobj_full:H5] epoch=2/8 step=75/1086 loss=0.9236
[train:safeobj_full:H5] epoch=2/8 step=100/1086 loss=0.9145
[train:safeobj_full:H5] epoch=2/8 step=125/1086 loss=0.9291
[train:safeobj_full:H5] epoch=2/8 step=150/1086 loss=0.9107
[train:safeobj_full:H5] epoch=2/8 step=175/1086 loss=0.8925
[train:safeobj_full:H5] epoch=2/8 step=200/1086 loss=0.8920
[train:safeobj_full:H5] epoch=2/8 step=225/1086 loss=0.8868
[train:safeobj_full:H5] epoch=2/8 step=250/1086 loss=0.8734
[train:safeobj_full:H5] epoch=2/8 step=275/1086 loss=0.8804
[train:safeobj_full:H5] epoch=2/8 step=300/1086 loss=0.8938
[train:safeobj_full:H5] epoch=2/8 step=325/1086 loss=0.9013
[train:safeobj_full:H5] epoch=2/8 step=350/1086 loss=0.8580
