====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_geom",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_geom device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_geom/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=(device.type == "cuda" and args.amp)):
[train:safeobj_no_geom:H5] epoch=1/8 step=0/1086 loss=1.6666
[train:safeobj_no_geom:H5] epoch=1/8 step=25/1086 loss=1.6256
[train:safeobj_no_geom:H5] epoch=1/8 step=50/1086 loss=1.2764
[train:safeobj_no_geom:H5] epoch=1/8 step=75/1086 loss=1.1358
[train:safeobj_no_geom:H5] epoch=1/8 step=100/1086 loss=1.1030
[train:safeobj_no_geom:H5] epoch=1/8 step=125/1086 loss=1.1131
[train:safeobj_no_geom:H5] epoch=1/8 step=150/1086 loss=1.0767
[train:safeobj_no_geom:H5] epoch=1/8 step=175/1086 loss=1.0791
[train:safeobj_no_geom:H5] epoch=1/8 step=200/1086 loss=1.0631
[train:safeobj_no_geom:H5] epoch=1/8 step=225/1086 loss=1.0792
[train:safeobj_no_geom:H5] epoch=1/8 step=250/1086 loss=1.0785
[train:safeobj_no_geom:H5] epoch=1/8 step=275/1086 loss=1.0622
[train:safeobj_no_geom:H5] epoch=1/8 step=300/1086 loss=1.0617
[train:safeobj_no_geom:H5] epoch=1/8 step=325/1086 loss=1.0790
[train:safeobj_no_geom:H5] epoch=1/8 step=350/1086 loss=1.0828
[train:safeobj_no_geom:H5] epoch=1/8 step=375/1086 loss=1.0454
[train:safeobj_no_geom:H5] epoch=1/8 step=400/1086 loss=1.0485
[train:safeobj_no_geom:H5] epoch=1/8 step=425/1086 loss=1.0754
[train:safeobj_no_geom:H5] epoch=1/8 step=450/1086 loss=1.0656
[train:safeobj_no_geom:H5] epoch=1/8 step=475/1086 loss=1.0536
[train:safeobj_no_geom:H5] epoch=1/8 step=500/1086 loss=1.0377
[train:safeobj_no_geom:H5] epoch=1/8 step=525/1086 loss=1.0689
[train:safeobj_no_geom:H5] epoch=1/8 step=550/1086 loss=1.0541
[train:safeobj_no_geom:H5] epoch=1/8 step=575/1086 loss=1.0382
[train:safeobj_no_geom:H5] epoch=1/8 step=600/1086 loss=1.0498
[train:safeobj_no_geom:H5] epoch=1/8 step=625/1086 loss=1.0455
[train:safeobj_no_geom:H5] epoch=1/8 step=650/1086 loss=1.0306
[train:safeobj_no_geom:H5] epoch=1/8 step=675/1086 loss=1.0281
[train:safeobj_no_geom:H5] epoch=1/8 step=700/1086 loss=1.0474
[train:safeobj_no_geom:H5] epoch=1/8 step=725/1086 loss=1.0556
[train:safeobj_no_geom:H5] epoch=1/8 step=750/1086 loss=1.0325
[train:safeobj_no_geom:H5] epoch=1/8 step=775/1086 loss=1.0362
[train:safeobj_no_geom:H5] epoch=1/8 step=800/1086 loss=1.0350
[train:safeobj_no_geom:H5] epoch=1/8 step=825/1086 loss=1.0310
[train:safeobj_no_geom:H5] epoch=1/8 step=850/1086 loss=1.0591
[train:safeobj_no_geom:H5] epoch=1/8 step=875/1086 loss=1.0334
[train:safeobj_no_geom:H5] epoch=1/8 step=900/1086 loss=1.0300
[train:safeobj_no_geom:H5] epoch=1/8 step=925/1086 loss=1.0249
[train:safeobj_no_geom:H5] epoch=1/8 step=950/1086 loss=1.0377
[train:safeobj_no_geom:H5] epoch=1/8 step=975/1086 loss=1.0313
[train:safeobj_no_geom:H5] epoch=1/8 step=1000/1086 loss=1.0357
[train:safeobj_no_geom:H5] epoch=1/8 step=1025/1086 loss=1.0355
[train:safeobj_no_geom:H5] epoch=1/8 step=1050/1086 loss=1.0315
[train:safeobj_no_geom:H5] epoch=1/8 step=1075/1086 loss=1.0235
[epoch done:safeobj_no_geom:H5] epoch=1 train=1.0764 val=1.0279 best=1.0279
[train:safeobj_no_geom:H5] epoch=2/8 step=0/1086 loss=0.9874
[train:safeobj_no_geom:H5] epoch=2/8 step=25/1086 loss=1.0259
[train:safeobj_no_geom:H5] epoch=2/8 step=50/1086 loss=1.0229
[train:safeobj_no_geom:H5] epoch=2/8 step=75/1086 loss=1.0424
[train:safeobj_no_geom:H5] epoch=2/8 step=100/1086 loss=1.0312
[train:safeobj_no_geom:H5] epoch=2/8 step=125/1086 loss=1.0120
[train:safeobj_no_geom:H5] epoch=2/8 step=150/1086 loss=1.0342
[train:safeobj_no_geom:H5] epoch=2/8 step=175/1086 loss=1.0274
[train:safeobj_no_geom:H5] epoch=2/8 step=200/1086 loss=1.0388
[train:safeobj_no_geom:H5] epoch=2/8 step=225/1086 loss=1.0269
