====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_stress",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 0,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_stress device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_stress/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=(device.type == "cuda" and args.amp)):
[train:safeobj_no_stress:H5] epoch=1/8 step=0/1086 loss=1.5983
[train:safeobj_no_stress:H5] epoch=1/8 step=25/1086 loss=1.6249
[train:safeobj_no_stress:H5] epoch=1/8 step=50/1086 loss=1.2280
[train:safeobj_no_stress:H5] epoch=1/8 step=75/1086 loss=1.1207
[train:safeobj_no_stress:H5] epoch=1/8 step=100/1086 loss=1.0826
[train:safeobj_no_stress:H5] epoch=1/8 step=125/1086 loss=1.0876
[train:safeobj_no_stress:H5] epoch=1/8 step=150/1086 loss=1.0775
[train:safeobj_no_stress:H5] epoch=1/8 step=175/1086 loss=1.0633
[train:safeobj_no_stress:H5] epoch=1/8 step=200/1086 loss=1.0705
[train:safeobj_no_stress:H5] epoch=1/8 step=225/1086 loss=1.0649
[train:safeobj_no_stress:H5] epoch=1/8 step=250/1086 loss=1.0642
[train:safeobj_no_stress:H5] epoch=1/8 step=275/1086 loss=1.0531
[train:safeobj_no_stress:H5] epoch=1/8 step=300/1086 loss=1.0542
[train:safeobj_no_stress:H5] epoch=1/8 step=325/1086 loss=1.0750
[train:safeobj_no_stress:H5] epoch=1/8 step=350/1086 loss=1.0400
[train:safeobj_no_stress:H5] epoch=1/8 step=375/1086 loss=1.0649
[train:safeobj_no_stress:H5] epoch=1/8 step=400/1086 loss=1.0637
[train:safeobj_no_stress:H5] epoch=1/8 step=425/1086 loss=1.0447
[train:safeobj_no_stress:H5] epoch=1/8 step=450/1086 loss=1.0555
[train:safeobj_no_stress:H5] epoch=1/8 step=475/1086 loss=1.0500
[train:safeobj_no_stress:H5] epoch=1/8 step=500/1086 loss=1.0448
[train:safeobj_no_stress:H5] epoch=1/8 step=525/1086 loss=1.0452
[train:safeobj_no_stress:H5] epoch=1/8 step=550/1086 loss=1.0521
[train:safeobj_no_stress:H5] epoch=1/8 step=575/1086 loss=1.0328
[train:safeobj_no_stress:H5] epoch=1/8 step=600/1086 loss=1.0421
[train:safeobj_no_stress:H5] epoch=1/8 step=625/1086 loss=1.0717
[train:safeobj_no_stress:H5] epoch=1/8 step=650/1086 loss=1.0521
[train:safeobj_no_stress:H5] epoch=1/8 step=675/1086 loss=1.0330
[train:safeobj_no_stress:H5] epoch=1/8 step=700/1086 loss=1.0387
[train:safeobj_no_stress:H5] epoch=1/8 step=725/1086 loss=1.0401
[train:safeobj_no_stress:H5] epoch=1/8 step=750/1086 loss=1.0215
[train:safeobj_no_stress:H5] epoch=1/8 step=775/1086 loss=1.0411
[train:safeobj_no_stress:H5] epoch=1/8 step=800/1086 loss=1.0237
[train:safeobj_no_stress:H5] epoch=1/8 step=825/1086 loss=1.0309
[train:safeobj_no_stress:H5] epoch=1/8 step=850/1086 loss=1.0493
[train:safeobj_no_stress:H5] epoch=1/8 step=875/1086 loss=1.0133
[train:safeobj_no_stress:H5] epoch=1/8 step=900/1086 loss=1.0300
[train:safeobj_no_stress:H5] epoch=1/8 step=925/1086 loss=1.0380
[train:safeobj_no_stress:H5] epoch=1/8 step=950/1086 loss=1.0281
[train:safeobj_no_stress:H5] epoch=1/8 step=975/1086 loss=1.0208
[train:safeobj_no_stress:H5] epoch=1/8 step=1000/1086 loss=1.0171
[train:safeobj_no_stress:H5] epoch=1/8 step=1025/1086 loss=1.0221
[train:safeobj_no_stress:H5] epoch=1/8 step=1050/1086 loss=0.9919
[train:safeobj_no_stress:H5] epoch=1/8 step=1075/1086 loss=0.9506
[epoch done:safeobj_no_stress:H5] epoch=1 train=1.0640 val=0.9312 best=0.9312
[train:safeobj_no_stress:H5] epoch=2/8 step=0/1086 loss=0.8885
[train:safeobj_no_stress:H5] epoch=2/8 step=25/1086 loss=0.9375
[train:safeobj_no_stress:H5] epoch=2/8 step=50/1086 loss=0.9169
[train:safeobj_no_stress:H5] epoch=2/8 step=75/1086 loss=0.9361
[train:safeobj_no_stress:H5] epoch=2/8 step=100/1086 loss=0.9126
[train:safeobj_no_stress:H5] epoch=2/8 step=125/1086 loss=0.9258
[train:safeobj_no_stress:H5] epoch=2/8 step=150/1086 loss=0.9156
[train:safeobj_no_stress:H5] epoch=2/8 step=175/1086 loss=0.9145
[train:safeobj_no_stress:H5] epoch=2/8 step=200/1086 loss=0.8768
[train:safeobj_no_stress:H5] epoch=2/8 step=225/1086 loss=0.8751
