method,stress,jf,ops,vanish,hallucination,split,mce
copy_last,blur,0.5144217110906346,0.868142144638404,0.0557668329177057,0.0084788029925187,0.4809850374064838,0.0
copy_last,blur,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0
linear_centroid,blur,0.5258047049854141,0.8610660847880299,0.0646197007481296,0.0084788029925187,0.4768391521197007,0.0002857486507726
linear_centroid,blur,0.6591703170096006,0.923239235814086,0.0313658397490732,0.0051325919589392,0.4771029369831765,0.000276207577197
linear_centroid_scale,blur,0.4977594635718718,0.842861596009975,0.0776807980049875,0.0073566084788029,0.4550498753117207,0.001477871505409
linear_centroid_scale,blur,0.6365146270211725,0.9179925862560592,0.034901625320787,0.0043912175648702,0.4619903051040775,0.0012572706094337
flow_warp,blur,0.5317819742673319,0.8628740648379052,0.0634039900249376,0.0084788029925187,0.5938902743142145,0.0015273127487986
flow_warp,blur,0.6685751681618681,0.925235243798118,0.0298830909609352,0.0051325919589392,0.5372683205018535,0.0015987488462339
flow_linear_fallback,blur,0.5456016120810955,0.8715399002493766,0.0586346633416458,0.0084788029925187,0.523285536159601,0.0014427175451776
flow_linear_fallback,blur,0.6758682845430858,0.9274023381807812,0.0286854861705161,0.0051325919589392,0.5183347590533219,0.0034545344157098
convlstm_base,blur,0.5398758002120135,0.9072630922693268,0.0468827930174563,0.0057668329177057,0.2573254364089775,0.0024510118615167
convlstm_base,blur,0.6746400147105499,0.9540347875677218,0.0275449101796407,0.0023381807812945,0.2920444824636441,0.0030848178742437
convlstm_stress,blur,0.5386159623143233,0.90642144638404,0.0475374064837905,0.0057356608478802,0.2716957605985037,0.0023897739989106
convlstm_stress,blur,0.670230485732147,0.9550042771599658,0.0255489021956087,0.0026803535785571,0.279441117764471,0.0029413519060392
safeobjworld_r_full,blur,0.5397895211916351,0.9152431421446384,0.0408354114713217,0.0067331670822942,0.2712281795511222,0.0025788992309335
safeobjworld_r_full,blur,0.6648257494847902,0.9576276019389792,0.0225263758197889,0.003193612774451,0.2739093242087254,0.0029295336806936
safeobjworld_r_no_temporal,blur,0.539914890918337,0.9153366583541148,0.0408042394014962,0.0067955112219451,0.2718827930174564,0.0025588029366416
safeobjworld_r_no_temporal,blur,0.6643681756600882,0.9581978899344168,0.0224693470202452,0.0031365839749073,0.2732249786142002,0.0030185833762071
safeobjworld_r_no_split,blur,0.5432426613095573,0.9166147132169576,0.0388715710723192,0.0069825436408977,0.2679551122194514,0.0026462449691376
safeobjworld_r_no_split,blur,0.6700619805785218,0.9587111491303107,0.0195608782435129,0.0039920159680638,0.2811519817507841,0.0028925986051959
safeobjworld_r_no_area,blur,0.5395920083948176,0.9174251870324188,0.0380610972568578,0.0066396508728179,0.2783354114713217,0.0025108063492752
