method,stress,jf,ops,vanish,hallucination,split,mce,uec,ece_iou50
safeobjworld_r_full,blur,0.5397895211916351,0.9152431421446384,0.0408354114713217,0.0067331670822942,0.2712281795511222,0.0025788992309335,0.1363721045309464,0.3926323471298242
safeobjworld_r_full,blur,0.6648257494847902,0.9576276019389792,0.0225263758197889,0.003193612774451,0.2739093242087254,0.0029295336806936,0.2034697071402801,0.2386579623547312
safeobjworld_r_no_temporal,blur,0.539914890918337,0.9153366583541148,0.0408042394014962,0.0067955112219451,0.2718827930174564,0.0025588029366416,0.1553459034975218,0.3940199871480167
safeobjworld_r_no_temporal,blur,0.6643681756600882,0.9581978899344168,0.0224693470202452,0.0031365839749073,0.2732249786142002,0.0030185833762071,0.1960136383387629,0.2379444085263376
safeobjworld_r_no_split,blur,0.5432426613095573,0.9166147132169576,0.0388715710723192,0.0069825436408977,0.2679551122194514,0.0026462449691376,0.1565929702172484,0.3926851728164644
safeobjworld_r_no_split,blur,0.6700619805785218,0.9587111491303107,0.0195608782435129,0.0039920159680638,0.2811519817507841,0.0028925986051959,0.2205510333682073,0.2401083815835431
safeobjworld_r_no_area,blur,0.5395920083948176,0.9174251870324188,0.0380610972568578,0.0066396508728179,0.2783354114713217,0.0025108063492752,0.1536117260524307,0.3971896491666089
safeobjworld_r_no_area,blur,0.6639176898467666,0.9578557171371542,0.0222412318220701,0.0032506415739948,0.2818933561448531,0.0030988497140881,0.2080150287850147,0.2384812495495676
safeobjworld_r_no_stress,blur,0.5459894915772894,0.9128428927680798,0.0428304239401496,0.0062344139650872,0.2993142144638404,0.0027919522970882,0.1611347963106406,0.386009681756211
safeobjworld_r_no_stress,blur,0.6769809794370142,0.9614485315084116,0.0192187054462503,0.0039920159680638,0.2743085258055318,0.0028118656459172,0.2054657227229883,0.2316406603922761
safeobjworld_r_det,blur,0.5385124830254576,0.911720698254364,0.0445137157107231,0.005860349127182,0.2312032418952618,0.001835361295024,,0.3929192318694847
safeobjworld_r_det,blur,0.6685835187121276,0.9548331907613344,0.0260051325919589,0.0025092671799258,0.2804676361562589,0.002870560431748,,0.2315513879137226
safeobjworld_r_image_only,blur,0.1143496355707096,0.3464152119700748,0.4229114713216957,0.0084788029925187,0.6544264339152119,0.0181005953278725,-0.0030787231135469,0.8929674303070863
safeobjworld_r_image_only,blur,0.1624630563382884,0.5316224693470203,0.1778728257770174,0.0051325919589392,0.9478756772169946,0.0193592343113221,0.0522744360720579,0.8566586237943576
safeobjworld_r_mask_only,blur,0.5378350560410348,0.9096945137157108,0.0444201995012468,0.0063279301745635,0.2795822942643391,0.0029050688710436,0.0294231701537861,0.385098099037819
safeobjworld_r_mask_only,blur,0.6571080059775688,0.9560878243512974,0.0226974622184203,0.0037639007698887,0.2226974622184203,0.0030563408690167,0.1744207129992674,0.236957608232615
object_token_full,blur,0.28458038665843,0.8562032418952619,0.0545199501246882,0.0083229426433915,0.1255299251870324,0.0135369720869712,-0.2278088801751418,0.7697330738745277
object_token_full,blur,0.3363961557341196,0.8853721129170231,0.0446535500427716,0.0038779583689763,0.0568577131451382,0.0149056886007663,-0.2778652033335259,0.7029111768773113
object_token_det,blur,0.2744350408779902,0.82035536159601,0.0674251870324189,0.0068266832917705,0.1470698254364089,0.0018852582596498,,0.794488175670405
object_token_det,blur,0.3578337099026621,0.8930139720558882,0.0438551468491588,0.0050755631593954,0.0900484744796122,0.0035873989324079,,0.6384104455982411
object_token_no_geom,blur,0.1099204300146321,0.3905236907730673,0.4500935162094763,0.0084788029925187,0.0316396508728179,0.0056928709695084,-0.3573152551355454,0.8853529150572204
object_token_no_geom,blur,0.1170988428621567,0.4205873966353008,0.4208155118334759,0.0051325919589392,0.197775876817793,0.0082528846080927,-0.2613235402532488,0.8955221536324716
safeobjworld_r_full,clean,0.5396114943936091,0.915430174563591,0.0407730673316708,0.0066708229426433,0.2738778054862842,0.0026079144590256,0.1437348151831637,0.3933110241302082
safeobjworld_r_full,clean,0.6643805099294362,0.9575135443398916,0.0226404334188765,0.0030795551753635,0.276475620188195,0.0029501878377922,0.2161708388431686,0.2392141919751979
safeobjworld_r_no_temporal,clean,0.5395568894704542,0.914993765586035,0.0410847880299251,0.0067643391521197,0.2739401496259351,0.0025969669829973,0.1646272130211553,0.394951831413772
safeobjworld_r_no_temporal,clean,0.6638512835205747,0.9577416595380668,0.0225263758197889,0.0030795551753635,0.2731679498146564,0.0030377506813495,0.2034991113194821,0.2392435840095996
safeobjworld_r_no_split,clean,0.5429286209951563,0.9160536159600996,0.0391209476309226,0.0069513715710723,0.2700436408977556,0.0026595998900304,0.1657229623259087,0.3924691064176416
safeobjworld_r_no_split,clean,0.6699855209401435,0.9584830339321356,0.0197319646421442,0.0039920159680638,0.282406615340747,0.0028983871523371,0.2267094265694398,0.2406191996437618
safeobjworld_r_no_area,clean,0.5392939554601996,0.9174251870324188,0.0379052369077306,0.006577306733167,0.2797693266832918,0.0025343017384786,0.1553821343393303,0.3970392163777886
safeobjworld_r_no_area,clean,0.6635173818215226,0.9572854291417164,0.0226974622184203,0.003193612774451,0.2813800969489592,0.0031034317641934,0.2235007982917159,0.2391514733947849
safeobjworld_r_no_stress,clean,0.5459932957284795,0.9122506234413964,0.0432044887780548,0.0062032418952618,0.3002493765586035,0.002794566879734,0.165687846542658,0.3867514239972517
safeobjworld_r_no_stress,clean,0.6768074864160838,0.9609923011120616,0.0193897918448816,0.0039349871685201,0.2753350441973196,0.0028138151550872,0.2059721053074849,0.2316927069675422
safeobjworld_r_det,clean,0.5380244352812745,0.911845386533666,0.0444201995012468,0.0058915211970074,0.2308915211970074,0.0018278946494923,,0.393625883878838
safeobjworld_r_det,clean,0.6684034873592523,0.9550042771599658,0.0257770173937838,0.0026233247790134,0.2837182777302537,0.0028585407487187,,0.2316099696938455
safeobjworld_r_image_only,clean,0.120298594992372,0.360006234413965,0.410785536159601,0.0084788029925187,0.6347256857855361,0.017227997685075,0.0198019754114488,0.8981460563819902
safeobjworld_r_image_only,clean,0.1628111332773619,0.5236954662104363,0.1850584545195323,0.0051325919589392,0.9393783860849728,0.0205276425392218,0.0861697483872585,0.8661407230347012
safeobjworld_r_mask_only,clean,0.5378350560410348,0.9096945137157108,0.0444201995012468,0.0063279301745635,0.2795822942643391,0.0029050688710436,0.0294231701537861,0.385098099037819
safeobjworld_r_mask_only,clean,0.6571080059775688,0.9560878243512974,0.0226974622184203,0.0037639007698887,0.2226974622184203,0.0030563408690167,0.1744207129992674,0.236957608232615
object_token_full,clean,0.2845571249859662,0.856140897755611,0.0547069825436409,0.0083229426433915,0.1246882793017456,0.0135352531273401,-0.2267991031775036,0.770326842397377
object_token_full,clean,0.3360089353539298,0.8853721129170231,0.0444824636441402,0.0038779583689763,0.0571428571428571,0.0149066744041288,-0.2779027667091502,0.7037347862242564
object_token_det,clean,0.2755296945061518,0.8220386533665835,0.0671134663341646,0.0068266832917705,0.1469763092269326,0.0018051565747084,,0.7932892849060365
object_token_det,clean,0.3578067147291707,0.8924436840604505,0.0429997148560022,0.0050755631593954,0.0871970345024237,0.0035617247088758,,0.6374085395024106
object_token_no_geom,clean,0.1097496752663606,0.389214463840399,0.4510286783042394,0.0084788029925187,0.0317643391521197,0.0056771645937109,-0.3554167949289286,0.8860489047766476
object_token_no_geom,clean,0.1174441264523298,0.4201881950384944,0.4192757342457941,0.0051325919589392,0.2072996863416025,0.0082803972311528,-0.2588346654450457,0.8948492663077285
safeobjworld_r_full,distractor,0.5406047524375063,0.9147755610972568,0.040928927680798,0.0067331670822942,0.2722256857855362,0.0026272446590688,0.1261915092093149,0.3916211119130662
safeobjworld_r_full,distractor,0.6651952988991326,0.9575135443398916,0.0224123182207014,0.003193612774451,0.2755631593954947,0.0029537497040013,0.1960968443070067,0.2376431084508599
safeobjworld_r_no_temporal,distractor,0.5405602327650387,0.9150872817955112,0.0408042394014962,0.0067643391521197,0.2696695760598503,0.002598788774565,0.1493936726076325,0.3934996237202623
