method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,uec,ece_iou50,n_samples
convlstm_base,blur,10,1,0.7725897962815876,0.8960000496534597,0.8342949229675235,0.9825436408977556,0.0140274314214463,0.000935162094763,0.3095386533665835,0.0024510118615167,0.0,,0.098694622516632,3208
convlstm_base,blur,10,2,0.6864178436581688,0.786426463286345,0.7364221534722569,0.9663341645885288,0.020573566084788,0.0018703241895261,0.3086034912718204,0.0024510118615167,0.0,,0.1551281034834961,3208
convlstm_base,blur,10,3,0.6221128124956039,0.6830253262947649,0.6525690693951843,0.950436408977556,0.0293017456359102,0.0021820448877805,0.3008104738154613,0.0024510118615167,0.0,,0.2311897084228415,3208
convlstm_base,blur,10,4,0.5708759894179465,0.5997018665316075,0.585288927974777,0.9379675810473816,0.0352244389027431,0.003428927680798,0.3017456359102244,0.0024510118615167,0.0,,0.3072707509608042,3208
convlstm_base,blur,10,5,0.5287697380693386,0.5293977365150645,0.5290837372922016,0.9208229426433916,0.041147132169576,0.0049875311720698,0.2811720698254364,0.0024510118615167,0.0,,0.3768772210674987,3208
convlstm_base,blur,10,6,0.4927417042591207,0.472266085403224,0.4825038948311724,0.9036783042394017,0.0476932668329177,0.0065461346633416,0.2596633416458853,0.0024510118615167,0.0,,0.4358369831246628,3208
convlstm_base,blur,10,7,0.4608911588168593,0.4237626172756653,0.4423268880462623,0.885286783042394,0.0554862842892768,0.0074812967581047,0.2362842892768079,0.0024510118615167,0.0,,0.4956407555915471,3208
convlstm_base,blur,10,8,0.4314841853401164,0.3824339904797579,0.4069590879099372,0.8687655860349127,0.064214463840399,0.0090399002493765,0.2069825436408977,0.0024510118615167,0.0,,0.5509888289723908,3208
convlstm_base,blur,10,9,0.4062711470558718,0.3486998953364017,0.3774855211961369,0.84071072319202,0.0754364089775561,0.0099750623441396,0.1901496259351621,0.0024510118615167,0.0,,0.5980980784964384,3208
convlstm_base,blur,10,10,0.3838471041636171,0.3198004939057509,0.351823799034684,0.8160847880299252,0.0857231920199501,0.0112219451371571,0.1783042394014962,0.0024510118615167,0.0,,0.6422411244632004,3208
convlstm_base,clean,10,1,0.7723962700112045,0.8962161685872452,0.8343062192992248,0.9822319201995012,0.0140274314214463,0.000935162094763,0.3095386533665835,0.0024811851650356,0.0,,0.099345326423645,3208
convlstm_base,clean,10,2,0.6863387279446094,0.7868098474528434,0.7365742876987265,0.9669576059850374,0.0196384039900249,0.0018703241895261,0.3070448877805486,0.0024811851650356,0.0,,0.1545635183478828,3208
convlstm_base,clean,10,3,0.6220789766108288,0.6832134673831832,0.6526462219970058,0.9516832917705736,0.0286783042394014,0.0021820448877805,0.2986284289276808,0.0024811851650356,0.0,,0.2312810808754621,3208
convlstm_base,clean,10,4,0.5706927841550261,0.599999797590358,0.5853462908726922,0.9379675810473816,0.0346009975062344,0.003428927680798,0.307356608478803,0.0024811851650356,0.0,,0.311127658422451,3208
convlstm_base,clean,10,5,0.5286647617911321,0.5297407654851995,0.5292027636381659,0.9208229426433916,0.0408354114713217,0.0049875311720698,0.2917705735660847,0.0024811851650356,0.0,,0.3763840712068086,3208
convlstm_base,clean,10,6,0.4926310655628554,0.4725607177025246,0.48259589163269,0.9011845386533666,0.0467581047381546,0.0065461346633416,0.2711970074812967,0.0024811851650356,0.0,,0.4350563543395806,3208
convlstm_base,clean,10,7,0.4607773824832547,0.4242863392530412,0.442531860868148,0.885286783042394,0.0542394014962593,0.0074812967581047,0.2456359102244389,0.0024811851650356,0.0,,0.4967653197131846,3208
convlstm_base,clean,10,8,0.4313090709384394,0.3831718597571394,0.4072404653477893,0.8668952618453866,0.064214463840399,0.0090399002493765,0.2275561097256858,0.0024811851650356,0.0,,0.5493369340116246,3208
convlstm_base,clean,10,9,0.4060022567402921,0.3491089960832708,0.3775556264117814,0.8413341645885287,0.0766832917705735,0.0099750623441396,0.1985660847880299,0.0024811851650356,0.0,,0.6005331121403678,3208
