epoch,train_loss,val_loss,seconds,method,max_h
1,0.554098859100052,0.38360430439934134,121.36489391326904,convlstm_stress,5
2,0.4659772955745623,0.3721901092212647,131.55783677101135,convlstm_stress,5
3,0.4457851764823192,0.37013626494444907,126.63576364517212,convlstm_stress,5
4,0.4337085356891265,0.3562711568083614,131.04404091835022,convlstm_stress,5
5,0.4252365930331785,0.3906930915545672,128.0269296169281,convlstm_stress,5
6,0.4190353650332156,0.35817515826784074,129.32340788841248,convlstm_stress,5
7,0.4129653786399966,0.3492057074327022,132.59743905067444,convlstm_stress,5
8,0.40724121639247757,0.3576890623662621,131.16963815689087,convlstm_stress,5
9,0.4027593947027709,0.3521045381203294,131.3019208908081,convlstm_stress,5
10,0.3982741128975735,0.3549167746677995,131.96887874603271,convlstm_stress,5
