epoch,train_loss,val_loss,seconds,method,max_h
1,0.5771893971697402,0.383242943091318,120.52266216278076,safeobjworld_r_no_area,5
2,0.47811392377753287,0.37076965533196926,130.51506519317627,safeobjworld_r_no_area,5
3,0.45675670041344224,0.3636783747933805,130.11227107048035,safeobjworld_r_no_area,5
4,0.4449767367314019,0.35843759356066585,130.26340866088867,safeobjworld_r_no_area,5
5,0.4364478056272749,0.3673079386353493,127.10535645484924,safeobjworld_r_no_area,5
6,0.4307630279857809,0.3559641542378813,128.44268107414246,safeobjworld_r_no_area,5
7,0.42515073793478875,0.35177087131887674,128.3955204486847,safeobjworld_r_no_area,5
8,0.42040481246856914,0.35498138051480055,126.16355538368225,safeobjworld_r_no_area,5
9,0.41677777985073144,0.354694138513878,124.9435362815857,safeobjworld_r_no_area,5
10,0.41308246764249784,0.35259169177152216,128.1009385585785,safeobjworld_r_no_area,5
