epoch,train_loss,val_loss,seconds,method,max_h
1,0.5499816171234923,0.37841604882851243,92.47975373268127,safeobjworld_r_no_stress,5
2,0.45094196856515845,0.3627328856382519,92.31411933898926,safeobjworld_r_no_stress,5
3,0.4336393473748783,0.35314033762551844,95.09748816490173,safeobjworld_r_no_stress,5
4,0.4235364258097241,0.35175513685680926,94.33924913406372,safeobjworld_r_no_stress,5
5,0.41626548574993844,0.3526135270949453,94.66219806671143,safeobjworld_r_no_stress,5
6,0.4105615307393434,0.34794088127091527,95.96139979362488,safeobjworld_r_no_stress,5
7,0.4060534146609227,0.3452746400143951,96.64050078392029,safeobjworld_r_no_stress,5
8,0.40156639485343826,0.346289390232414,133.51288557052612,safeobjworld_r_no_stress,5
9,0.3978269546675199,0.3463308026548475,93.50073528289795,safeobjworld_r_no_stress,5
10,0.39461891660483944,0.34458279656246305,95.59289479255676,safeobjworld_r_no_stress,5
