epoch,train_loss,val_loss,seconds,method,max_h
1,0.5773758002544854,0.38234255090355873,123.49407196044922,safeobjworld_r_no_temporal,5
2,0.47827371160463733,0.3710604638326913,127.48543357849121,safeobjworld_r_no_temporal,5
3,0.4568357700087528,0.3643521941266954,123.7800989151001,safeobjworld_r_no_temporal,5
4,0.4447322917302889,0.3584552351385355,128.26098346710205,safeobjworld_r_no_temporal,5
5,0.4363118643781537,0.3625952999573201,125.33140087127686,safeobjworld_r_no_temporal,5
6,0.430791650399648,0.35658926283940673,127.5764753818512,safeobjworld_r_no_temporal,5
7,0.425138002436464,0.3513922272250056,125.98960900306702,safeobjworld_r_no_temporal,5
8,0.42045688461752445,0.3541587400250137,124.39074993133545,safeobjworld_r_no_temporal,5
9,0.416890751604766,0.3541578738950193,123.20863461494446,safeobjworld_r_no_temporal,5
10,0.41295914703201414,0.3517552383709699,127.11142897605896,safeobjworld_r_no_temporal,5
